id,source,company_name,country,city,website_url,phone,email,scraped_at
1,goodfirms,SDLC Corp,California,San Francisco,https://sdlccorp.com/website-development-company/,+1(510-630-6507,sales@sdlccorp.com,2026-03-05 10:55:32
2,goodfirms,instinctools,Maryland,Potomac,https://www.instinctools.com/,+12028214280,contact@instinctools.com,2026-03-05 10:55:32
3,goodfirms,Utility,New York,NYC,https://utility.agency/,,projects@utility.agency,2026-03-05 10:55:32
4,goodfirms,Plavno,California,San Francisco,https://plavno.io/services/web-development,+48572384103,sales@plavno.io,2026-03-05 10:55:32
5,goodfirms,OpenXcell,Nevada,Las Vegas,https://www.openxcell.com/web-development-company/,,,2026-03-05 10:55:32
6,goodfirms,Funnel Boost Media,Texas,San Antonio,https://www.funnelboostmedia.net/goodfirms/,210) 757-3522,,2026-03-05 10:55:32
7,goodfirms,Tallium Inc.,California,San Francisco,https://tallium.com/en/expertise/web-and-mobile-app/,+14038799495,info@tallium.com,2026-03-05 10:55:32
8,goodfirms,Gearheart,California,San Francisco,http://gearheart.io/,,hello@gearheart.io,2026-03-05 10:55:32
9,goodfirms,Sigli,California,San Francisco,https://www.sigli.com/,306257613,info@sigli.com,2026-03-05 10:55:32
10,goodfirms,PageTraffic Inc,Illinois,Chicago,https://www.pagetraffic.com/web-design-services.php,+91-92125 21444,sales@pagetraffic.in,2026-03-05 10:55:32
11,goodfirms,Future Processing,Texas,Plano,https://www.future-processing.com/services/software-development-services/software-development/,+44 845 805 74 79,sales@future-processing.com,2026-03-05 10:55:32
12,goodfirms,9thCO Inc,New York,NYC,https://www.9thco.com/,416.923.9898,info@9thco.com,2026-03-05 10:55:32
13,goodfirms,3 SIDED CUBE,Washington,Airway Heights,https://www.3sidedcube.com/,,holla@3sidedcube.com,2026-03-05 10:55:32
14,goodfirms,SumatoSoft,Massachusetts,Boston,https://sumatosoft.com/,+18572390848,info@sumatosoft.com,2026-03-05 10:55:32
15,goodfirms,intouch,Lebanon,Jdeidet el Metn,https://www.intouchmena.com/,+961) 3 068 545,info@intouchmena.com,2026-03-05 10:55:32
16,goodfirms,Saigon Technology,Virginia,Reston,https://saigontechnology.com/,+84) 767 496 612,sales@saigontechnology.com,2026-03-05 10:55:32
17,goodfirms,TRIARE,Virginia,Fairfax,https://triare.net/service-web-development/,+46812400602,welcome@triare.net,2026-03-05 10:55:32
18,goodfirms,Shakuro,Delaware,Lewes,https://shakuro.com/,,hello@shakuro.com,2026-03-05 10:55:32
